,title,sentiment,date
0,可以發文嗎,neutral,2020-10-20
1,聖誕節到了,positive,2019-12-24
2,午夜實驗室,neutral,2019-07-15
3,這裡可以發廢文嗎🤔,positive,2019-01-09
4,藍袋分享&唯白衛生棉試用感受,positive,2018-11-05
5,睡不著寫1,positive,2018-11-04
6,Dcard 午夜實驗室 幕後花絮大直擊🎥,positive,2018-10-23
7,藍袋的唯白衛生棉使用心得,negative,2018-10-18
8,所謂這些秘密的冷知識答案...,positive,2018-10-12
9,午夜實驗室,positive,2018-10-09
10,收集部分問題就可以解決根本？,negative,2018-10-09
11,午夜實驗室現場穿搭直擊！DAY 2,positive,2018-10-09
12,#圖 #體驗文 #第一次參加,positive,2018-10-08
13,去年活動跟今年都是送女生化妝品之類的，明年能不能換送3C啊,negative,2018-10-08
14,藍色袋子之衛生棉~,positive,2018-10-08
15,雨傘才用第一天就壞了...,negative,2018-10-08
16,關於dcard限量杯,positive,2018-10-08
17,一個人的旅途,negative,2018-10-08
18,有人和我一樣不知道扭到冷知識也可以換獎品嗎？,positive,2018-10-07
19,10/7 晚上入場 覺得失望,positive,2018-10-07
20,大家快樂後的反思,positive,2018-10-07
21,致謝文以下開放用手戳記簽退,negative,2018-10-07
22,運氣爆棚的我們😉,positive,2018-10-07
23,1007場次心得,positive,2018-10-07
24,關於 戰利品,negative,2018-10-07
25,小藍袋內容物（不專業分享）,negative,2018-10-07
26,#心得 沒有藍袋，但醉翁之意不在酒,negative,2018-10-07
27,1007 午夜實驗室活動感想,negative,2018-10-07
28,五月天和迪卡的淵源,negative,2018-10-07
29,小藍袋禮物開箱,negative,2018-10-07
30,#有片 閃光下台一鞠躬👋🏻最後一撩🙌🏻,positive,2018-10-07
31,小藍破掉了,neutral,2018-10-07
32,午夜ㄉ心得,negative,2018-10-07
33,第一次上台北 😤,negative,2018-10-07
34,午夜實驗市的禮物啊,neutral,2018-10-07
35,跟藍袋無緣的我,positive,2018-10-07
36,午夜實驗室的杯子,positive,2018-10-07
37,打卡完直接印出來！午夜實驗室=回憶製造機🤖️,positive,2018-10-07
38,關於藍色小袋子...,negative,2018-10-07
39,最後一天就是要拍照啊不然要幹嘛-快門實驗室,positive,2018-10-07
40,#再更 好吃又好拍的繽紛實驗室-DCARD午夜實驗室,negative,2018-10-07
41,午夜實驗室現場穿搭直擊！😍 DAY 1,negative,2018-10-07
42,電出你的閃光⚡️來電我和你 ❤️,positive,2018-10-07
43,藍色袋子規定又變了😂,negative,2018-10-07
44,緊急⚠️ 午夜實驗室最後一天❗️超多人排隊，快來卡位R~,negative,2018-10-07
45,抽卡實驗室,positive,2018-10-07
46,10/7午夜實驗室 最終回攻略,positive,2018-10-07
47,藍色袋子的糾結點,negative,2018-10-07
48,抱怨本活動的同學們～,positive,2018-10-07
49,打翻飲料的女孩,negative,2018-10-06
50,藍色小袋子要怎樣才能拿到,negative,2018-10-06
51,環保飲料杯,positive,2018-10-06
52,實驗室超讚,positive,2018-10-06
53,轉讓票,neutral,2018-10-06
54,1007 1600,negative,2018-10-06
55,1006 早鳥心得,negative,2018-10-06
56,其實我沒有很想要袋子啦,negative,2018-10-06
57,明天想去排隊的人可以不用去了,negative,2018-10-06
58,#心得 早鳥14點第一批,negative,2018-10-06
59,午夜實驗室=卸妝水實驗室,negative,2018-10-06
60,滿滿的理膚寶水,positive,2018-10-06
61,🎉午夜實驗室首日花絮來啦🎉,positive,2018-10-06
62,我真的很想要袋子,positive,2018-10-06
63,午夜實驗室開箱,negative,2018-10-06
64,騙人的鳥活動,negative,2018-10-06
65,藍色小提袋,positive,2018-10-06
66,早鳥沒有藍色袋子!,negative,2018-10-06
67,午夜實驗室心得,negative,2018-10-06
68,午夜實驗室-午夜佈告欄,positive,2018-10-06
69,活動感想,positive,2018-10-06
70,Dcard午夜實驗室🥚扭蛋區大揭密！,positive,2018-10-06
71,Dcard午夜實驗室-快門實驗室📸,positive,2018-10-06
72,藍色袋子,negative,2018-10-06
73,10/7  14:00的場,negative,2018-10-06
74,想問袋子怎麼拿,negative,2018-10-06
75,Dcard午夜實驗室-抽卡實驗室🚪,positive,2018-10-06
76,這活動沒開直播嗎？,positive,2018-10-06
77,美美的午夜實驗室💕,neutral,2018-10-06
78,Dcard午夜實驗室--電流實驗室⚡️⚡️,positive,2018-10-06
79,來玩來玩～,negative,2018-10-06
80,#更 Dcard午夜實驗室 進場搶先看📸📸,negative,2018-10-06
81,好想去的女子,neutral,2018-10-06
82,現場排隊的小閃光看這邊🤘,positive,2018-10-06
83,好奇的想問問誰是10/7 15：00那場的呀😂😂,positive,2018-10-05
84,沒搶到票,negative,2018-10-05
85,📣午夜實驗室「行前須知」：小閃光們一起快樂參加活動吧✨,positive,2018-10-05
86,#有片 午夜實驗室該怎麼去呢？,positive,2018-10-04
87,10/7  11：00,negative,2018-10-03
88,入場門票,negative,2018-10-03
89,午夜實驗室限定隱藏版彩蛋大公開 🎊,positive,2018-10-03
90,裝到滿滿滿的小禮物～🎁 在 Dcard 午夜實驗室等你帶回家！,positive,2018-10-02
91,好奇問一下,negative,2018-10-01
92,早鳥,negative,2018-10-01
93,午夜實驗室沒搶到票？現場也可排隊呦 🙌,positive,2018-10-01
94,一起~together,neutral,2018-09-30
95,門票進場問題,negative,2018-09-30
96,隊友跑走缺人陪ㄚ,negative,2018-09-29
97,什麼❓❗ 你還沒報名午夜實驗室,positive,2018-09-29
98,High起來,neutral,2018-09-28
99,9/28.29 午夜實驗室早鳥報名梯次📜,positive,2018-09-27
100,緊急❗午夜實驗室延期公告,positive,2018-09-26
101,月老實驗室(更新)歡迎想找人一起去的,positive,2018-09-26
102,閃光與他的午夜實驗室攤位們,positive,2018-09-25
103,跪求一張票,neutral,2018-09-25
104,有沒有人能跟我一起過去 QQ,negative,2018-09-24
105,颱風別來亂呀,positive,2018-09-23
106,午夜實驗室之超大咖客座教授要來啦！,positive,2018-09-21
107,被放生了⋯,neutral,2018-09-21
108,這個跟klash有關ㄇ,positive,2018-09-19
109,9/30  16:00場,neutral,2018-09-18
110,怎樣才可以成為你的閃光？,positive,2018-09-15
111,Dcard 秘密大公開🎁 100個比閃光還難找的隱藏彩蛋，等你來發問！,positive,2018-09-13
112,準備二刷dcard活動🙋🏻🙋🏻,positive,2018-09-11
113,所以 我說,positive,2018-09-09
114,(更新~~~)9/29 粉紅草地大集合,negative,2018-09-08
115,#整理 午夜實驗室好康康康康康,positive,2018-09-07
116,請問這裡是ㄩ砲板ㄇ,negative,2018-09-07
117,1006 揪團,neutral,2018-09-06
118,這裡是做啥,neutral,2018-09-05
119,歡迎來到✨午夜實驗室✨看板,positive,2018-09-05
120,大家都報哪一場？,positive,2018-09-05
121,誰要一起去Dcard舉辦的午夜實驗室,negative,2018-09-03
122,午夜實驗室搶票失敗取暖區,negative,2018-09-03
123,Dcard活動,negative,2018-09-03
124,狄卡午夜實驗室,neutral,2018-09-03
125,什麼午夜實驗室,neutral,2018-08-30
126,午夜實驗室,neutral,2018-08-29
127,午夜實驗室,neutral,2018-08-29
128,Dcard 午夜實驗室 10/6.7華山登場！,positive,2018-08-29
